XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomLAC	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR
sorbitol	-3.896	182.079038168	1	5	1.46	6	0	8	11	0	26	0	0	-2.9402	8.64477604	38.4036
sotalol	1.051	272.1194635	0	6	2.12	2	10	6	18	1	38	6	6	-0.0509999999999995	0.00260099999999995	70.9466
sparfloxacin	2.756	392.165997004001	0	3	2.56	0	16	3	31	1	50	11	10	0.672500000000004	0.452256250000005	93.6005
spectinomycin	-1.913	332.350121553908	0	2	2.01	0	2	2	25	2	47	0	0	-2.4695	6.09843025	75.4356
spiramycin	1.929	842.514005048002	2	11	4.43	2	4	3	62	2	133	0	0	-2.2778	5.18837284000002	212.9184
spirapril	2.972	466.159614060001	0	11	2.89	4	6	9	33	1	61	6	6	0.943200000000001	0.889626240000001	118.42
spironolactone	3.445	416.202130504001	0	2	3.55	0	4	3	33	0	61	0	0	1.4012	1.96336144	112.217
stannous_fluoride	0.887	156.70691475537	0	0	1.13	0	0	3	2	0	3	0	0	0.3976	0.15808576	3.0026
stanozolol	5.722	328.251463644001	1	0	3.44	0	5	0	28	0	56	5	5	1.8254	3.33208516000001	95.5071
stavudine	-0.718	224.079706864	0	2	1.9	0	8	2	17	0	28	6	6	0.9853	0.970816090000001	48.7187
streptomycin	-5.988	581.265669688001	2	9	1.68	0	4	3	42	7	79	0	0	-6.0746	36.90076516	121.9755
streptozocin	-1.413	265.09099982	0	5	1.24	0	6	5	18	0	33	0	0	-2.181	4.756761	55.1552
strontium_chloride	-1.778	265.906705564	1	0	0.47	0	0	0	0	0	21	0	0	NA	NA	NA
strontium	-1.886	848.161645708001	0	10	3.11	0	12	3	52	0	97	32	30	NA	NA	NA
strontium-89	1.024	157.84331746	0	0	1.13	0	0	0	0	0	3	0	0	NA	NA	NA
succinate	-1.191	140.00855292	0	3	1.35	4	3	6	7	1	14	0	0	NA	NA	NA
succinic_acid	-0.71	118.026608672	0	3	1.46	4	3	6	7	0	14	0	0	-0.41	0.1681	23.537
succinylcholine	0.28	360.158262800001	1	11	2.12	4	3	14	19	4	52	0	0	NA	NA	NA
sucralfate	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
sucrose	-3.277	342.296981548886	2	5	1.57	0	0	2	24	0	45	0	0	-4.3105	18.58041025	68.7741
sufentanil	2.801	386.202799200001	0	9	3.33	3	9	4	29	1	57	11	11	1.7441	3.04188481	107.8203
sulbactam	-1.132	233.035793452	0	1	1.57	0	3	3	16	0	26	0	0	-0.695800000000001	0.484137640000002	48.1199
sulbenicillin	1.1	414.456118810606	0	6	2.01	2	6	5	29	0	45	6	6	0.341399999999999	0.116553959999999	94.6383
sulbutiamine	1.014	702.891048580982	3	21	3.22	5	7	16	49	0	94	12	12	1.439	2.07072100000001	192.7486
sulconazole	5.993	396.00215252	1	6	2.78	2	6	4	26	0	39	17	17	5.9806	35.76757636	104.287
sulfacetamide	-0.0600000000000003	214.04121318	0	3	1.68	0	13	5	14	0	24	6	6	0.0917999999999995	0.00842723999999991	50.3478
sulfadiazine	0.333	250.05244656	0	3	1.79	0	17	3	18	0	27	12	12	0.2512	0.06310144	61.9033
sulfadoxine	0.623	310.073575928	0	5	1.79	0	19	3	22	0	35	12	12	0.5891	0.34703881	76.6043
sulfamethazine	0.963	278.083746688	0	3	2.01	0	17	3	20	0	33	12	12	1.246	1.552516	71.3944
sulfamethizole	1.408	270.02451756	0	3	1.57	0	16	3	18	0	27	11	11	0.738999999999999	0.546120999999999	67.0496
sulfamethoxazole	1.181	253.052112212	0	3	1.79	0	16	3	18	0	28	11	11	0.9729	0.94653441	61.9999
sulfanilamide	-0.336	172.030648496	0	1	1.57	0	11	3	11	0	19	6	6	0.1232	0.0151782399999999	41.2412
sulfasalazine	3.947	398.068490548	0	6	2.34	0	28	3	30	0	42	18	18	3.6899	13.61536201	100.9975
sulfinpyrazone	2.33	404.119463500001	0	6	3.33	2	18	4	32	0	49	18	18	2.8067	7.87756489	102.4011
sulfisoxazole	1.474	267.067762276	0	3	1.9	0	16	3	19	0	31	11	11	1.1495	1.32135025	67.0435
sulfur	-0.543	63.96190024	0	0	1.13	0	2	3	2	0	3	0	0	-0.0466	0.00217156	2.8858
sulfur_hexafluoride	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
sulfuric_acid	-1.764	97.967379544	0	0	0.91	0	5	3	4	0	7	0	0	-0.6578	0.43270084	13.1972
sulindac	3.555	356.088243624	0	4	3.11	2	18	3	27	0	42	12	12	3.5958	12.92977764	90.16
sulpiride	0.62	341.140927216001	0	7	2.23	0	14	4	24	1	46	6	6	-0.0829999999999997	0.00688899999999995	80.7571
sultamicillin	-0.129	594.145420540001	1	10	2.56	2	6	7	44	1	70	6	6	-0.132400000000001	0.0175297600000003	137.1275
sulthiame	0.845	290.039498928	0	2	1.68	0	14	3	19	0	32	6	6	-0.7706	0.59382436	62.3463
sultopride	2.04	354.161328312001	0	8	2.56	0	13	4	25	1	50	6	6	0.781	0.609961	88.2476
sumatriptan	0.88	295.135447912001	0	6	2.34	2	9	4	21	1	41	10	9	1.4743	2.17356049	81.2286
sunitinib	2.94	398.211804324001	0	8	3.11	2	19	8	31	1	56	11	11	3.5745	12.77705025	111.9002
suprofen	2.279	260.050715244	0	4	2.56	3	13	4	19	0	30	11	11	3.0868	9.52833423999999	71.5802
suramin	0.914000000000001	1427.938573028	3	22	2.56	0	84	3	93	6	126	46	44	NA	NA	NA
synephrine	0.522	167.094628656	0	3	2.12	2	7	5	12	1	25	6	6	0.717000000000001	0.514089000000001	46.8875
tacalcitol	6.414	416.329045268001	1	6	4.1	7	6	7	32	0	74	0	0	0.427499999999999	0.182756249999999	119.9763
tacrine	2.226	198.115698448	0	0	2.67	0	11	0	17	0	29	11	10	0.953000000000001	0.908209000000001	59.8079
tacrolimus	2.842	821.492541332002	1	7	4.76	3	5	3	60	0	129	0	0	-0.6481	0.42003361	204.8079
tadalafil	1.745	389.137556088	0	1	3.11	0	9	0	34	0	48	16	15	2.2862	5.22671043999999	104.0418
tadenan	11.093	326.354866092001	2	20	3.77	22	0	23	22	0	69	0	0	-6.1574	37.91357476	71.4075
tafluprost	4.735	452.237430628001	1	13	3.44	7	7	10	33	0	66	6	6	1.3818	1.90937124	115.474
talc	-4.856	377.817456724	1	0	-0.63	0	2	3	11	0	21	0	0	-0.2563	0.06568969	15.8719
talinolol	2.901	363.252191916001	0	10	3	3	11	7	27	1	59	6	6	-0.1774	0.0314707600000001	92.1765
talniflumate	5.676	414.334919416633	1	6	2.78	0	16	3	33	0	43	18	18	5.0235	25.23555225	99.1107
tamoxifen	7.138	371.224914548001	1	8	4.1	4	21	5	30	1	57	18	18	5.6558	31.98807364	119.4274
tamsulosin	2.323	408.171892996001	1	11	2.78	3	11	6	29	1	56	12	12	2.5186	6.34334596	105.6766
tannic_acid	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
tapentadol	3.253	221.177964356	0	5	2.78	5	7	7	16	1	39	6	6	1.626	2.643876	67.1382
tartrate	-1.603	227.042987008	0	5	1.68	4	9	6	16	0	25	6	6	-0.91	0.828100000000001	48.5281
tartrazine	-0.337	534.366176135385	2	6	1.24	0	18	3	33	3	43	12	12	-0.6706	0.44970436	94.1626
taurine	-1.678	125.014664084	0	2	1.13	2	4	5	6	1	14	0	0	-1.2682	1.60833124	24.5659
tazarotene	5.615	351.129299912001	1	3	3.33	2	17	5	27	0	46	12	12	4.9695	24.69593025	104.1945
tazobactam	-2.116	300.052840484	0	3	1.46	0	5	3	22	0	32	5	5	-1.2135	1.47258225	65.9083
technetium_99m	0	NA	0	0	1.35	0	0	0	0	0	1	0	0	0	0	0
technetium_tc_99m_sestamibi	4.23	NA	2	18	3.99	3	2	6	42	0	121	0	0	4.1328	17.08003584	170.976
teduglutide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
tegafur	-0.127	200.059720368	0	1	1.68	0	8	0	15	0	23	6	6	0.1715	0.02941225	33.436
tegaserod	4.858	301.190260356001	0	9	2.56	5	16	10	23	3	45	10	9	0.8815	0.777042250000001	81.9261
teicoplanin	-1.158	1765.431381412	3	14	5.42	0	21	3	137	1	205	42	42	-0.761999999999998	0.580643999999998	405.9608
telaprevir	3.048	679.405732416001	2	19	3.99	6	9	9	53	0	102	6	6	-4.8866	23.87885956	159.8978
telavancin	5.937	1753.637429122	4	31	5.75	10	21	14	130	4	227	30	30	-4.491	20.169081	406.0176
telbivudine	-1.335	242.090271548	0	2	1.79	0	8	2	18	0	31	6	6	-0.2812	0.0790734399999999	47.2742
telithromycin	3.03	811.473143280002	2	11	4.54	4	11	4	62	1	123	11	11	-0.415900000000012	0.17297281000001	210.0518
telmisartan	7.722	514.236876200001	1	7	4.43	3	18	3	44	0	69	32	30	6.5687	43.14781969	153.0183
temazepam	2.986	300.066555336	0	1	2.67	0	17	0	23	0	34	12	12	3.0505	9.30555025	81.0103
temocillin	0.866	414.055542916	0	7	2.01	3	5	5	29	0	45	5	5	0.5703	0.32524209	95.1752
temozolomide	-1.104	194.055223432	0	1	1.24	0	13	3	15	0	20	10	9	-0.8866	0.786059560000001	40.8003
temsirolimus	3.544	1029.602485704	2	11	5.75	3	6	5	76	0	160	0	0	-1.40260000000001	1.96728676000002	263.5409
teniposide	1.19	656.156362084001	0	6	3.44	0	9	2	53	0	78	17	17	2.7529	7.57845841	156.0665
tenofovir	-2.115	305.088905242	0	5	1.24	3	10	6	20	0	36	10	9	-1.5601	2.43391201	67.9823
tenofovir_disoproxil	1.834	519.173028790001	2	17	1.79	3	10	15	36	0	65	10	9	0.244399999999999	0.0597313599999994	121.018
tenoxicam	1.981	337.019097832	0	3	1.9	0	21	3	24	0	33	11	11	0.262700000000001	0.0690112900000003	81.3148
terazosin	1.137	387.190654280001	0	5	2.56	0	14	2	31	0	53	11	10	-0.0623999999999985	0.00389375999999981	100.9785
terbinafine	5.888	291.198699800001	1	4	3.66	7	10	9	23	1	47	11	10	5.3357	28.46969449	98.0752
terbutaline	1.416	225.136493468	0	4	2.34	2	8	6	16	1	35	6	6	1.3809	1.90688481	62.3854
terconazole	4.65	531.180395212001	0	8	3.22	0	8	3	40	1	67	17	17	4.5557	20.75440249	143.008
terfenadine	7.105	471.313729552001	1	9	4.65	4	6	5	38	1	76	18	18	3.757	14.115049	137.7711
teriflunomide	2.462	270.061612188	0	4	2.01	4	14	5	19	0	28	6	6	2.1697	4.70759809	61.5246
teriparatide	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
terizidone	-0.202	302.101504928	0	4	2.12	0	10	2	24	0	36	6	6	-0.2036	0.04145296	75.9454
terlipressin	-4.34799999999999	1226.496097668	3	31	3.55	6	7	11	88	2	159	12	12	-9.5486	91.1757619599999	281.0034
terpin_hydrate	1.11	190.280270334755	0	1	2.23	3	0	3	12	0	35	0	0	1.3814	1.90826596	49.3682
tesamorelin	-17.6220000000001	5135.78779513724	4	231	10.37	6	7	140	363	20	727	18	18	-18.9775	360.14550625	1280.7904
testosterone_17-phenylpropionate	6.073	420.5846870305	1	5	4.21	3	6	4	35	0	67	6	6	5.8677	34.42990329	122.9789
testosterone	8.657	484.355260016001	2	12	4.43	12	4	13	38	0	83	0	0	-1.5282	2.33539524000001	126.3895
tetrabenazine	2.648	317.199093724001	0	4	3.11	3	8	3	25	1	50	6	6	2.1162	4.47830244	90.8096
tetracaine	2.807	264.183778008	0	9	2.67	4	10	7	19	1	43	6	6	1.1541	1.33194681000001	76.9585
tetracycline	0.219	444.153265728001	1	2	2.78	0	12	3	35	1	56	6	6	-1.3777	1.89805729000001	110.7881
tetrahydrozoline	2.274	200.131348512	0	1	2.67	0	6	0	17	2	31	6	6	0.7261	0.52722121	58.9228
tetrazepam	2.786	288.102940844	0	1	2.78	0	13	0	22	0	37	6	6	1.6388	2.68566544	78.3786
tetrofosmin	3.5	382.240183020001	1	19	2.78	2	0	14	23	0	64	0	0	2.2958	5.27069764000001	112.095
thalidomide	0.257	258.0640568	0	1	2.23	0	11	0	21	0	29	6	6	-0.3899	0.15202201	61.6814
thallium	0	206.39921393416	0	0	1.35	0	0	0	0	0	3	0	0	0	0	0
theanine	-3.136	174.100442308	0	6	1.68	5	3	9	11	1	26	0	0	-1.6821	2.82946041	39.657
theobromine	-0.295	180.064725496	0	0	1.57	0	11	0	14	0	21	10	9	0.2909	0.0846228099999998	37.9792
theodrenaline	-0.0860000000000002	375.379806748764	0	6	2.23	2	11	6	29	1	48	11	11	0.0408999999999995	0.00167280999999996	96.0211
theophylline	-1.303	241.11748934	0	1	1.57	2	11	4	17	1	32	10	9	-0.896099999999999	0.802995209999998	54.1903
thiabendazole	2.174	201.036068224	0	1	2.12	0	14	0	16	0	21	15	14	2.4247	5.87917009	58.0579
thiamine	0.379	265.112307164	0	4	2.12	2	7	3	19	1	35	11	11	-1.5522	2.40932483999999	70.4455
thiamphenicol	0.314	355.00479894	0	7	1.79	3	9	7	21	0	36	6	6	0.7606	0.57851236	78.8306
thiamylal	3.242	254.108898816	0	5	2.23	5	7	5	17	2	35	0	0	0.4708	0.22165264	66.394
thiethylperazine	5.044	399.180289928001	1	6	3.33	3	13	3	30	2	56	12	12	5.1116	26.12845456	119.8726
thimerosal	2.256	381.832151321501	0	4	2.01	2	9	4	13	0	22	6	6	2.0577	4.23412929	47.8643
thiocolchicoside	0.494999999999999	563.182517256001	0	8	3.11	0	17	3	42	0	72	13	13	0.959400000000002	0.920448360000004	135.4139
thioctate	1.591	205.320096815254	0	5	1.9	5	3	6	12	0	25	0	0	1.5556	2.41989136	52.0098
thioguanine	0.042	167.02656616	0	0	1.35	0	11	0	12	0	16	10	9	0.3924	0.15397776	43.2541
thiopental	2.33	242.108898816	0	4	2.12	5	8	5	16	0	34	0	0	0.1138	0.01295044	62.5849
thioridazine	5.944	370.153740832001	1	4	3.33	2	13	2	28	1	51	12	12	3.7598	14.13609604	106.0398
thiotepa	0.76	189.048955014	0	3	1.57	0	5	2	13	0	23	0	0	-0.761100000000001	0.579273210000001	50.7222
thiothixene	3.295	443.170119168001	0	5	3.22	3	18	4	33	2	59	12	12	3.2617	10.63868689	125.4259
thrombin	1.659	263.747370492044	0	0	2.23	0	15	0	18	0	27	6	6	-1.1279	1.27215841	71.3556
thymalfasin	0	0	0	0	1.46	0	0	0	0	0	NA	0	0	0	0	0
thymine	-0.694	126.042927432	0	0	1.57	0	8	0	9	0	15	6	6	0.9349	0.87403801	23.7288
thymol	3.247	150.104465068	0	1	2.45	0	7	3	11	0	25	6	6	2.4659	6.08066281	46.6002
thymopentin	-4.107	679.766147052552	4	26	2.78	6	7	21	48	5	97	6	6	-1.2594	1.58608835999999	171.6053
tiagabine	2.793	375.132671040001	0	6	3.11	4	12	4	27	1	50	10	10	3.5881	12.87446161	106.3442
tianeptine	4.268	436.122355960001	0	8	2.89	7	16	9	31	1	54	12	12	1.3972	1.95216784	105.0854
tiapride	1.562	328.145678248001	0	9	2.34	2	13	8	22	1	46	6	6	1.4275	2.03775625000001	85.9825
tiaprofenate	1.904	260.050715244	0	4	2.56	3	13	4	19	0	30	11	11	3.3782	11.41223524	71.4577
tibolone	2.988	312.208930136001	0	0	3.55	0	2	2	26	0	51	0	0	1.4176	2.00958976	90.172
ticagrelor	2.013	522.186080816001	0	10	2.56	3	10	4	40	0	64	16	15	0.2131	0.0454116100000002	130.0742
ticarcillin	1.232	384.044978232	0	6	2.01	3	5	5	27	0	41	5	5	0.444999999999999	0.198024999999999	88.8816
ticlopidine	3.164	263.053548128	0	2	2.67	0	6	0	19	1	31	11	11	3.6978	13.67372484	74.2434
tiemonium	2.609	445.057248008001	0	5	2.89	3	6	4	24	2	47	11	11	NA	NA	NA
tigecycline	1.351	585.279863208001	2	8	3.22	2	16	6	45	2	81	6	6	-0.980099999999999	0.960596009999997	152.6712
tilidine	3.344	273.172878976001	0	5	3	0	6	5	21	1	43	6	6	2.5192	6.34636864	81.8249
tiludronic_acid	-0.575000000000001	317.928359948	0	4	1.13	0	6	5	17	0	26	6	6	3.1023	9.62426529	63.9304
timolol	1.277	316.156911628001	0	7	2.01	3	7	7	22	1	45	5	5	0.543099999999999	0.294957609999999	85.3944
tinidazole	0.739	247.062676896	0	5	1.46	2	8	5	16	0	29	5	5	0.6658	0.44328964	53.2696
tioconazole	4.482	385.981417076	0	6	2.45	2	6	4	25	0	36	16	16	4.5651	20.84013801	97.1455
tiopronin	-0.471	163.030314148	0	4	1.46	3	3	7	9	0	19	0	0	-0.6712	0.45050944	37.1359
tiotropium	0.613	392.099025184001	0	5	2.78	2	5	4	30	2	48	10	10	0.1975	0.03900625	95.8471
tipranavir	6.818	602.206227816001	2	12	3.66	3	16	3	45	0	75	18	18	3.5014	12.25980196	147.5523
tiratricol	5.728	621.763502768	1	4	2.23	2	14	3	22	0	30	12	12	4.4966	20.21941156	102.5248
tirofiban	3.608	440.234493252001	1	14	3	4	7	9	31	1	66	6	6	-1.6893	2.85373449	105.6093
tiropramide	4.888	467.644500420737	1	17	3.88	3	9	9	35	1	75	12	12	5.01550000000001	25.1552402500001	138.9458
titanium_dioxide	-0.798	79.8655591002988	0	0	1.13	0	2	3	2	0	3	0	0	-0.0466	0.00217156	2.8858
tixocortol	1.806	462.243995316001	0	5	3.66	3	4	7	35	0	70	0	0	1.362	1.85504399999999	125.6639
tizanidine	2.247	253.018893936	0	2	1.68	0	13	0	18	3	24	10	9	1.846	3.407716	64.4207
tobramycin	-7.624	1172.516089976	3	27	2.78	2	0	16	81	10	164	0	0	-12.0536	145.28927296	272.5552
tocainide	1.15	192.126263132	0	3	2.34	3	9	4	14	1	30	6	6	1.2882	1.65945924	56.3667
tocopheryl_nicotinate_d-alpha	12.087	535.80153433009	3	15	4.87	13	16	13	41	0	92	12	12	10.9643	120.21587449	162.54
tofacitinib	1.341	312.169859260001	0	4	2.45	3	10	5	25	0	43	10	9	0.2561	0.0655872099999998	85.2973
tofisopam	4.743	382.189257312001	0	6	3.22	0	20	2	30	0	54	12	12	2.8213	7.95973368999999	107.6668
tolazamide	2.695	311.130362532001	0	5	2.23	0	14	5	22	0	42	6	6	-0.00339999999999779	1.1559999999985e-05	73.0685
tolazoline	1.499	160.216054427861	0	2	2.34	0	6	0	13	2	24	6	6	1.152	1.327104	49.0693
tolbutamide	2.184	270.103813436	0	7	2.12	4	13	9	18	0	36	6	6	0.6813	0.464169690000001	64.2745
tolcapone	4.112	273.063722452	0	3	2.34	0	19	3	21	0	31	12	12	4.0316	16.25379856	66.9597
tolfenamic_acid	4.126	261.055656304	0	3	2.56	0	16	3	19	0	30	12	12	4.3992	19.35296064	71.4962
tolmetin	2.564	257.10519334	0	4	2.67	2	13	3	20	0	34	11	11	3.242	10.510564	72.3928
tolnaftate	5.792	307.103085164001	1	4	3.22	0	20	4	24	0	39	17	16	5.6698	32.14663204	94.9204
tolperisone	3.176	245.177964356	0	4	3	3	8	4	19	1	41	6	6	1.525	2.325625	71.2011
tolrestat	3.991	357.349157544951	0	6	2.34	2	14	6	25	0	38	11	10	3.6469	13.29987961	87.5448
tolterodine	5.576	325.240564612001	1	7	3.66	3	7	6	25	1	55	12	12	3.4049	11.59334401	102.5465
tolvaptan	5.4	448.155370340001	1	5	3.66	0	24	3	35	0	57	18	18	4.4133	19.47721689	122.6623
topiramate	-1.204	339.098787632001	0	3	1.68	0	5	4	24	0	43	0	0	-1.5374	2.36359876	70.702
topotecan	0.863	421.163770836001	0	3	3.11	0	18	3	35	1	54	17	16	2.0043	4.01721849	108.2711
toremifene	6.847	405.185942196001	1	9	3.99	4	21	5	31	1	57	18	18	6.3604	40.45468816	123.8565
torsemide	2.535	348.125611500001	0	7	2.34	0	20	7	25	0	44	12	12	1.9009	3.61342081	89.2148
tramadol	2.434	263.18852904	0	4	2.89	0	7	3	20	1	44	6	6	0.8985	0.80730225	73.386
tramazoline	2.689	215.142247544	0	2	2.56	0	10	0	18	3	33	6	6	0.373	0.139129	60.4687
trametinib	3.492	615.077880436001	0	6	3.11	0	29	3	41	0	60	23	22	4.6397	21.52681609	126.8968
trandolapril	3.454	430.246772188001	0	11	3.33	4	6	9	33	1	65	6	6	-0.714099999999996	0.509938809999995	107.3233
tranexamic_acid	0.298	157.11027872	0	2	2.01	0	3	3	11	1	26	0	0	-0.4065	0.16524225	40.3852
tranilast	2.871	327.110672644	0	7	2.78	3	22	4	25	0	41	12	12	2.7877	7.77127129	88.8639
tranylcypromine	2.714	266.178298704	0	2	3.22	0	6	0	22	2	42	12	12	1.6468	2.71195024	80.9434
trapidil	1.78	205.13274548	0	3	2.01	0	10	5	16	0	30	10	9	1.2801	1.63865601	57.2563
travoprost	4.571	500.238573500001	1	14	3.33	7	7	10	36	0	70	6	6	1.3218	1.74715524000001	122.7422
trazodone	3.046	371.151288004001	0	5	2.78	3	10	3	29	1	48	16	15	3.5016	12.26120256	96.1987
trenbolone	2.765	312.172544628001	0	2	3.33	0	8	3	26	0	47	0	0	0.9009	0.81162081	89.044
treosulfan	-3.292	278.013009408	0	7	1.02	4	4	10	15	0	30	0	0	-1.5792	2.49387264	52.7264
trepibutone	2.015	310.141638424001	0	10	2.56	4	11	6	22	0	44	6	6	2.474	6.120676	79.3998
treprostinil	4.136	390.240624188001	0	10	3.44	8	7	8	30	0	62	6	6	-1.0893	1.18657449	96.8118
tretinoin	17.956	712.579446292002	2	19	6.52	13	20	13	54	0	128	6	6	9.0081	81.1458656100001	220.6677
triamcinolone	0.669	394.179166804001	0	2	3	2	6	4	31	0	55	0	0	-1.3949	1.94574601	98.3089
triamterene	0.642	253.107593352	0	1	2.01	0	19	0	21	0	30	17	16	0.8211	0.674205210000001	76.222
triazolam	6.122	342.043901744	1	1	2.67	0	19	0	26	0	35	17	17	4.5597	20.79086409	93.1392
triazulenone	2.974	464.905053059573	0	3	2.89	0	25	3	37	3	54	12	12	2.8867	8.33303689000001	127.0182
tribenoside	4.216	478.235538808001	1	13	3.99	2	6	6	38	0	69	18	18	4.1215	16.98676225	133.0598
tricaprylin	9.634	470.683336469981	2	26	3.77	8	3	21	32	0	83	0	0	8.5729	73.49461441	130.8663
trichlormethiazide	0.745	378.902180776	0	2	1.02	0	15	3	21	0	28	6	6	1.567	2.455489	73.7007
trichloroacetaldehyde	1.444	147.387630209523	0	1	1.24	2	2	4	5	0	7	0	0	1.4958	2.23741764	27.2329
trichloroacetate	1.03	161.904212312	0	1	1.13	2	3	4	6	0	8	0	0	1.4484	2.09786256	28.1583
triclofos	0.108	227.891278278	0	3	0.8	2	5	6	9	0	14	0	0	1.3037	1.69963369	38.5151
triclosan	4.695	287.951162504	0	2	2.23	0	14	0	18	0	24	12	12	5.116	26.173456	68.4073
trientine	-2.114	146.153146576	0	7	1.68	2	0	10	9	4	28	0	0	-2.271	5.157441	43.3174
trifluoperazine	5.893	479.117658852001	1	5	2.78	3	13	3	31	2	56	12	12	4.8795	23.80952025	108.8713
trifluridine	-0.636	296.062006112	0	3	1.46	0	8	3	21	0	31	6	6	0.1749	0.0305900100000002	48.2067
triflusal	2.347	248.029643364	0	4	1.79	0	12	3	17	0	24	6	6	2.2811	5.20341721	50.3452
trihexyphenidyl	4.521	301.240564612001	0	5	3.44	3	6	4	24	1	53	6	6	-0.833900000000005	0.695389210000008	79.5869
trilostane	2.644	329.199093724001	0	0	3.22	0	5	2	28	0	51	0	0	0.1664	0.0276889600000001	86.5641
trimebutine	3.569	387.204573028001	0	10	3.22	4	12	7	29	1	57	12	12	3.3074	10.93889476	107.2649
trimeprazine	6.958	746.317177320001	2	11	4.54	4	13	6	55	2	102	24	24	7.5978	57.72656484	210.8554
trimetazidine	0.654	266.163042564	0	5	2.45	0	9	2	20	2	41	6	6	1.658	2.748964	74.5204
trimethadione	-0.00899999999999987	143.058243148	0	0	1.68	0	6	0	10	0	19	0	0	0.488899999999999	0.239023209999999	33.199
trimethobenzamide	2.382	388.199821996001	0	11	3	2	12	5	29	1	56	12	12	2.935	8.61422499999999	107.6425
trimethoprim	0.07	678.243160416001	2	10	2.45	0	9	3	48	0	85	24	24	2.939	8.637721	175.9156
trimethylphloroglucinol	1.482	168.19012689971	0	0	2.12	0	9	0	12	0	24	6	6	2.4864	6.18218496	46.2639
trimipramine	4.327	294.209598832001	0	4	3.44	3	13	5	24	1	48	12	12	3.9261	15.41426121	94.6541
tripelennamine	NA	246.287173015625	NA	6	2.89	2	7	6	20	NA	31	12	12	NA	NA	NA
triprolidine	4.013	278.178298704001	0	4	3.33	3	14	3	23	1	43	12	12	2.8567	8.16073489	85.6628
triptorelin	5.068	1698.725562916	4	47	6.96	5	14	28	134	3	222	53	49	-0.0635000000000066	0.00403225000000084	427.7932
trofosfamide	1.839	323.584347273719	0	7	1.57	2	5	7	17	0	35	0	0	1.0155	1.03124025	72.987
troglitazone	1.757	521.117808824001	0	7	2.89	0	12	3	38	0	62	12	12	4.9044	24.05313936	129.8172
trolamine_salicylate	-0.404	287.136887392001	0	7	2.12	2	10	7	19	1	41	6	6	0.0056000000000008	3.1360000000009e-05	73.7982
troleandomycin	2.916	813.969979395212	3	12	4.21	2	3	3	60	1	124	0	0	2.8991	8.40478081000002	201.1446
tromethamine	-2.662	121.13520986898	0	3	1.46	3	0	5	7	1	19	0	0	-2.3809	5.66868481	28.3555
tropatepine	4.607	333.155120736001	0	0	3.66	0	14	0	28	1	47	12	12	3.4112	11.63628544	101.4031
tropicamide	1.344	284.152477880001	0	7	2.89	3	6	7	22	0	41	12	12	1.3339	1.77928921	82.0799
tropisetron	3.434	284.152477880001	0	3	2.89	0	12	3	24	1	41	10	9	0.698200000000001	0.487483240000001	73.9079
trospium	4.037	392.222568820001	0	5	3.77	2	6	4	33	2	59	12	12	-0.787800000000001	0.620628840000002	99.4412
trovafloxacin	3.942	416.109625	0	3	2.56	0	21	3	34	1	45	17	16	2.279	5.193841	94.6107
troxerutin	-1.645	742.232029124001	3	15	3	2	22	4	56	0	94	17	16	-1.1786	1.38909795999999	166.3266
trypan_blue	3.112	868.85182678295	2	9	2.56	0	56	3	63	0	82	34	32	3.3668	11.33534224	207.8356
trypsin	1.502	725.789943542337	4	20	3.44	5	14	18	53	3	99	12	12	1.8014	3.24504196	188.986
tryptophan	-1.271	204.089877624	0	3	2.23	3	9	4	16	1	27	10	9	0.8833	0.78021889	56.3132
tubocurarine	4.657	609.296462032001	0	2	4.65	0	15	2	51	3	86	24	24	5.477	29.997529	172.5389
tulobuterol	2.85	227.107691876	0	4	2.45	2	6	6	15	1	33	6	6	2.4527	6.01573729	63.8771
tyloxapol	5.516	280.403066135226	1	3	3	5	7	5	19	0	48	6	6	3.3184	11.01177856	81.9942
tyramine	0.896	137.084063972	0	2	2.12	2	7	3	10	1	21	6	6	0.9241	0.85396081	40.6773
tyrosine	-1.785	181.073893212	0	3	2.01	3	7	4	13	1	24	6	6	0.3224	0.10394176	46.9208
ubiquinol	18.454	862.683911360003	2	31	7.51	40	10	40	63	0	153	0	0	12.6288	159.48658944	287.7956
ulipristal	3.436	433.261693980001	0	3	4.1	0	7	3	36	0	67	6	6	2.2633	5.12252689	129.2745
umeclidinium	4.917	428.258954328001	0	8	4.32	2	6	4	36	2	66	18	18	3.146	9.89731599999998	127.5271
undecylenate	4.359	184.275719796322	0	9	2.45	11	3	12	12	0	33	0	0	3.6959	13.65967681	54.1227
uracil	-0.875	112.027277368	0	0	1.46	0	8	0	8	0	12	6	6	0.4487	0.20133169	18.6876
uracil_mustard	1.189	251.022831952	0	5	1.57	2	9	7	15	0	26	6	6	1.9413	3.76864569	51.8028
urapidil	1.604	387.227039788001	0	7	2.78	3	9	4	30	1	57	12	12	2.2648	5.12931904	101.485
